Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","20p","C_0402_1005Metric",153.120000,-120.990000,90.000000,top
"C2","20p","C_0402_1005Metric",153.030000,-125.350000,270.000000,top
"C3","2u2","C_0603_1608Metric",155.970000,-97.840000,90.000000,top
"C4","2u2","C_0603_1608Metric",146.730000,-99.690000,90.000000,top
"C5","47u","CP_EIA-3216-18_Kemet-A",148.740000,-75.690000,90.000000,top
"C6","47u","CP_EIA-3216-18_Kemet-A",148.330000,-80.470000,90.000000,top
"C7","2u2","C_0603_1608Metric",148.810000,-83.640000,0.000000,top
"C8","47u","CP_EIA-3216-18_Kemet-A",145.870000,-79.040000,270.000000,top
"C9","47u","CP_EIA-3216-18_Kemet-A",155.410000,-80.900000,90.000000,top
"C10","1u","C_0402_1005Metric",145.030000,-100.230000,0.000000,top
"C11","100n","C_0402_1005Metric",145.040000,-99.230000,0.000000,top
"C12","100n","C_0402_1005Metric",158.740000,-102.450000,180.000000,top
"C13","100n","C_0402_1005Metric",142.340000,-116.890000,180.000000,top
"C14","100n","C_0402_1005Metric",158.750000,-116.870000,180.000000,top
"C15","100n","C_0402_1005Metric",146.290000,-87.910000,180.000000,top
"C16","100n","C_0402_1005Metric",148.900000,-119.199999,180.000000,top
"C17","100n","C_0402_1005Metric",146.320000,-119.230000,180.000000,top
"C18","100n","C_0402_1005Metric",146.580000,-96.670000,0.000000,top
"C20","1u","C_0402_1005Metric",155.750000,-119.420000,0.000000,top
"C21","100n","C_0402_1005Metric",155.750000,-120.420000,0.000000,top
"C22","100n","C_0402_1005Metric",154.180000,-96.700000,180.000000,top
"C23","100n","C_0402_1005Metric",151.290000,-96.650000,0.000000,top
"C24","100n","C_0805_2012Metric",155.160000,-85.100000,270.000000,top
"D1","D_Small","D_SOD-123",146.600000,-72.170000,180.000000,top
"D2","D_Small","D_SOD-123",154.110000,-72.070000,0.000000,top
"FB1","Ferrite_Bead_Small","L_0805_2012Metric",145.860000,-74.230000,180.000000,top
"FB2","Ferrite_Bead_Small","L_0805_2012Metric",155.980000,-75.550000,270.000000,top
"FB3","Ferrite_Bead_Small","L_0805_2012Metric",145.820000,-83.350000,90.000000,top
"R1","47","R_0402_1005Metric",151.640000,-119.250000,0.000000,top
"R2","10k","R_0402_1005Metric",151.720000,-127.279999,270.000000,top
"R3","10k","R_0402_1005Metric",145.170000,-132.120000,90.000000,top
"R4","15","R_0603_1608Metric",145.870000,-75.900000,180.000000,top
"R5","2k2","R_0402_1005Metric",150.160000,-87.940000,180.000000,top
"R6","2k2","R_0402_1005Metric",148.230000,-87.920000,0.000000,top
"R7","1k","R_0805_2012Metric",151.260000,-80.330000,270.000000,top
"R8","1k","R_0805_2012Metric",153.320000,-80.370000,270.000000,top
"SW1","Reset","SW_Push_SPST_NO_Alps_SKRK",148.440000,-128.000000,0.000000,top
"SW2","Boot0","SW_Push_SPST_NO_Alps_SKRK",148.490000,-132.100000,0.000000,top
"U1","STM32H743VIT6","LQFP-100_14x14mm_P0.5mm",150.530000,-109.960000,90.000000,top
"U2","TLV320AIC23BPW","TSSOP-28_4.4x9.7mm_P0.65mm",150.360000,-92.320000,90.000000,top
"U3"," LM1117F-3.3","SOT-89-3",152.470000,-75.930000,270.000000,top
"U4","LM4040C10IDBZR","SOT-23",152.420000,-83.980000,180.000000,top
"Y1","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",150.570001,-123.160001,270.000000,top
