Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","2u2","C_0603_1608Metric",154.700000,-97.300000,315.000000,top
"C2","2u2","C_0603_1608Metric",146.875000,-85.300000,135.000000,top
"C3","4u7","C_0603_1608Metric",136.466711,-96.633973,225.000000,top
"C4","100n","C_0402_1005Metric",137.757181,-97.217336,225.000000,top
"C5","100n","C_0402_1005Metric",148.770369,-101.831208,225.000000,top
"C6","100n","C_0402_1005Metric",153.900000,-95.150000,45.000000,top
"C7","100n","C_0402_1005Metric",146.375000,-86.650000,135.000000,top
"C8","100n","C_0402_1005Metric",138.322866,-91.666548,45.000000,top
"C9","1u","C_0603_1608Metric",141.292715,-102.025662,135.000000,top
"C10","10n","C_0402_1005Metric",142.211953,-101.035712,135.000000,top
"C11","12p","C_0402_1005Metric",135.075000,-96.075000,225.000000,top
"C12","12p","C_0402_1005Metric",134.980000,-99.500000,180.000000,top
"C13","100n","C_1206_3216Metric",143.925000,-53.975000,270.000000,top
"C14","22u","CP_EIA-3216-18_Kemet-A",132.925000,-59.375000,180.000000,top
"C15","100n","C_0402_1005Metric",132.850000,-57.700000,180.000000,top
"C16","100n","C_1206_3216Metric",146.375000,-54.000000,270.000000,top
"C17","22u","CP_EIA-3216-18_Kemet-A",157.350000,-59.475000,0.000000,top
"C18","100n","C_0402_1005Metric",157.225000,-57.825000,0.000000,top
"C19","22u","CP_EIA-3528-21_Kemet-B",129.125000,-49.450000,90.000000,top
"C20","22u","CP_EIA-3528-21_Kemet-B",161.150000,-49.250000,270.000000,top
"C21","100n","C_1206_3216Metric",157.475000,-63.100000,90.000000,top
"C22","100n","C_0402_1005Metric",158.750000,-98.050000,0.000000,top
"C23","22u","CP_EIA-3216-18_Kemet-A",158.950000,-99.750000,0.000000,top
"C24","10u","CP_EIA-3216-18_Kemet-A",163.675000,-99.750000,0.000000,top
"C25","100n","C_0402_1005Metric",165.050000,-98.075000,0.000000,top
"C26","10u","CP_EIA-3216-18_Kemet-A",164.350000,-87.550000,180.000000,top
"C27","100n","C_0402_1005Metric",165.075000,-89.200000,180.000000,top
"C28","10u","CP_EIA-3216-18_Kemet-A",159.550000,-87.575000,180.000000,top
"C29","100n","C_0402_1005Metric",159.650000,-89.225000,180.000000,top
"C30","10u","CP_EIA-3216-18_Kemet-A",154.800000,-87.575001,180.000000,top
"C31","100n","C_0402_1005Metric",156.125000,-89.225000,180.000000,top
"C32","100n","C_0402_1005Metric",140.675000,-99.475000,315.000000,top
"C33","100n","C_0603_1608Metric",139.975000,-147.100000,0.000000,top
"C34","100n","C_0603_1608Metric",131.500000,-140.900000,90.000000,top
"C35","10u","CP_EIA-3216-18_Kemet-A",147.650000,-137.100000,270.000000,top
"C36","18p","C_0603_1608Metric",137.000000,-136.850000,180.000000,top
"C37","10u","CP_EIA-3216-18_Kemet-A",126.100000,-144.050000,270.000000,top
"C38","18p","C_0603_1608Metric",136.950000,-149.000000,90.000000,top
"C39","100n","C_0402_1005Metric",135.150000,-103.500000,180.000000,top
"C40","3n3","C_0603_1608Metric",154.650000,-133.350000,0.000000,top
"C41","3n3","C_0603_1608Metric",155.950000,-122.450000,0.000000,top
"C42","3n3","C_0603_1608Metric",154.600000,-149.725000,0.000000,top
"C43","3n3","C_0603_1608Metric",155.900000,-137.300000,0.000000,top
"C44","3n3","C_0603_1608Metric",135.750000,-122.550000,180.000000,top
"C45","3n3","C_0603_1608Metric",135.100000,-135.100000,180.000000,top
"C46","3n3","C_0603_1608Metric",153.550000,-123.250000,270.000000,top
"C47","3n3","C_0603_1608Metric",153.450000,-138.200000,270.000000,top
"C48","3n3","C_0603_1608Metric",137.650000,-134.225000,90.000000,top
"D1","D_Schottky_Small","D_SOD-123",136.825000,-45.600000,90.000000,top
"D2","D_Schottky_Small","D_SOD-123",153.250000,-46.325000,270.000000,top
"FB1","Any","L_0603_1608Metric",137.250000,-49.950000,0.000000,top
